run	bait	prey	mean	omega
ARID1B-1	ARID1B	Q9Y2W1	18.2077400488157	0.1
ARID1B-1	ARID1B	Q9Y2V2	0.809495585812703	0.1
ARID1B-1	ARID1B	Q9Y2S6	4.20730908748347	0.1
ARID1B-1	ARID1B	Q9UKM9	0.931435103594642	0.1
ARID1B-1	ARID1B	Q9UKD2	1.45957451149483	0.1
ARID1B-1	ARID1B	Q9UJV9	3.20680747286231	0.1
ARID1B-1	ARID1B	Q9NYP9	2.56339025103145	0.1
ARID1B-1	ARID1B	Q9NYF8	18.7624129794956	0.1
ARID1B-1	ARID1B	Q9NX58	1.48081629256669	0.1
ARID1B-1	ARID1B	Q9NWB6	4.94188716860705	0.1
ARID1B-1	ARID1B	Q9P016	0.934578260369932	0.1
ARID1B-1	ARID1B	Q9Y3I0	6.06253062151142	0.1
ARID1B-1	ARID1B	Q9P021	3.85100661563307	0.1
ARID1B-1	ARID1B	Q9UII2	2.92047429543402	0.1
ARID1B-1	ARID1B	Q9UHX1	2.09014825048914	0.1
ARID1B-1	ARID1B	Q9UHD8	0.219183928393531	0.1
ARID1B-1	ARID1B	Q9UG63	1.84955942537426	0.379826327053958
ARID1B-1	ARID1B	Q9UBV8	2.56697033713241	0.1
ARID1B-1	ARID1B	Q9UBU8	0.392914469443709	0.1
ARID1B-1	ARID1B	Q9P258	12.5814708312166	0.1
ARID1B-1	ARID1B	Q9NTJ3	1.47796657630776	0.1
ARID1B-1	ARID1B	O75531	3.44395214663144	0.1
ARID1B-1	ARID1B	O75369	10.228861914566	0.1
ARID1B-1	ARID1B	O75643	3.62018601658093	0.21157015428028
ARID1B-1	ARID1B	O75083	4.30682004680943	0.292893218813452
ARID1B-1	ARID1B	O76003	0.817986959226695	0.1
ARID1B-1	ARID1B	O94832	14.4586535788306	0.51461139873207
ARID1B-1	ARID1B	P05387	5.99601638952143	0.1
ARID1B-1	ARID1B	P05386	2.14514379904129	0.1
ARID1B-1	ARID1B	P04899	6.42425050462448	0.305569656093521
ARID1B-1	ARID1B	P04637	2.58095673919245	0.1
ARID1B-1	ARID1B	P00338	3.96517279938983	0.1
ARID1B-1	ARID1B	O95816	7.23618760775961	0.1
ARID1B-1	ARID1B	O60262	0.594544829047031	0.1
ARID1B-1	ARID1B	O00161	3.86118708847657	0.347671926946558
ARID1B-1	ARID1B	O00159	17.1170090764377	0.506918907217893
ARID1B-1	ARID1B	Q9Y5V0	1.26213633379304	0.1
ARID1B-1	ARID1B	Q9Y421	1.90767257168525	0.1
ARID1B-1	ARID1B	O00487	1.04230740037321	0.1
ARID1B-1	ARID1B	O00567	3.00919969615476	0.1
ARID1B-1	ARID1B	O43795	25.9953296230464	0.644964198751637
ARID1B-1	ARID1B	O43707	13.3381772432622	0.432038165752935
ARID1B-1	ARID1B	O43447	0.143606645693376	0.1
ARID1B-1	ARID1B	O14744	1.77594538129753	0.1
ARID1B-1	ARID1B	O00629	0.640085913948453	0.1
ARID1B-1	ARID1B	Q9NSV4	1.77287804146093	0.1
ARID1B-1	ARID1B	Q96NC0	0.582366281462037	0.1
ARID1B-1	ARID1B	Q96MN5	0.498301089893299	0.1
ARID1B-1	ARID1B	Q96J01	3.6469585969091	0.1
ARID1B-1	ARID1B	Q96I25	3.09126794326722	0.1
ARID1B-1	ARID1B	Q96I24	29.916438393968	0.1
ARID1B-1	ARID1B	Q96H79	2.99334069173448	0.1
ARID1B-1	ARID1B	Q96RQ3	8.97538189264673	0.655359444976498
ARID1B-1	ARID1B	Q96T17	0.6238532408282	0.1
ARID1B-1	ARID1B	Q99873	3.93019943392316	0.1
ARID1B-1	ARID1B	Q99832	21.1315447765949	0.44875830771347
ARID1B-1	ARID1B	Q99497	23.0195604173557	0.1
ARID1B-1	ARID1B	Q99439	0.0777845332527149	0.1
ARID1B-1	ARID1B	Q92841	10.1375066698744	0.1
ARID1B-1	ARID1B	Q92734	0.173384822345662	0.1
ARID1B-1	ARID1B	Q92598	16.770334312639	0.1
ARID1B-1	ARID1B	Q92522	1.4227430805669	0.1
ARID1B-1	ARID1B	Q92499	5.32714757780737	0.1
ARID1B-1	ARID1B	Q8WWM7	2.57787471624501	0.154845745271483
ARID1B-1	ARID1B	Q92945	5.65092453568557	0.1
ARID1B-1	ARID1B	Q96AG4	5.65946015365883	0.1
ARID1B-1	ARID1B	Q96EY4	6.99580159624769	0.1
ARID1B-1	ARID1B	Q96E11	0.923795325162131	0.1
ARID1B-1	ARID1B	Q96CT7	8.9530568441855	0.1
ARID1B-1	ARID1B	Q9BRJ7	1.49828707896359	0.1
ARID1B-1	ARID1B	Q9HA64	1.48328748468531	0.1
ARID1B-1	ARID1B	Q9H7C9	0.521249592074539	0.1
