Protein,Cyto - Endo.C19,Cyto - GalT,Cyto - LAMT,Cyto - PM
P55011,-0.229990034948112,-1.44534479495117,-0.906074063127589,-2.17588455967424
P55196,0.623723856954082,0.0450610180951358,0.372227637809402,-1.07185825149001
P60953,0.1831089097445,-0.4425693043863,0.291201191273201,-1.40686639184483
P62070,-0.0741210875256659,-0.856754421979344,-1.12605485795003,-1.95002391890734
P63000,0.243571429231294,-0.275492274026973,-0.344899268469462,-1.73788037035116
P63096,6.32218289962644e-05,-0.88795902387056,-1.04474583896786,-2.01539002379478
P78310,0.153361935129645,-0.883799253725856,-1.02910920708356,-2.76658793403063
P78537,-0.154516860550324,0.402798135767609,-0.63814464099569,0.67260509565021
P82094,-0.129396893229781,-1.45180496553424,-0.743364623920448,1.28190643473882
P98172,0.0865749265344122,-1.77831746485452,-0.370228608497544,-3.11316735723209
P98194,-0.0355173803984753,-1.32645862458206,-0.530666873829009,0.615057111078224
Q00587,-0.170142089866989,-0.491801927542023,0.318660652674278,-1.40893504778071
Q01970,0.206478755844503,-0.414076545127621,0.375073072560635,-1.70437480721861
Q05682,0.505829814805281,-0.132842886131676,1.01754920871545,-0.988701686321143
Q08378,-0.289244582311232,-1.83299722094681,-0.592623893262687,0.834524015139169
Q0VGL1,-0.725220310496647,0.127308025675788,-3.050369711621,-0.423240554102123
Q12929,0.0985332933221379,-0.842552516283074,0.0792744554065149,-1.7154445668098
Q12959,0.352517790918004,-0.711229429472809,-0.169786853267164,-1.73177890115794
Q13009,-0.0555601805743345,-0.0164076114679569,0.121699677907121,-1.0282302423412
Q13425,-0.0238628561779513,-0.49642344945734,-0.627978594795051,-1.30093237842701
Q13576,0.454425054743953,-0.821058131789371,-0.0300582880862711,-1.73773311860496
Q14126,0.130891467054815,-0.933013171644708,-0.563870660129208,-1.9468737837592
Q14160,0.13102849353069,-0.459972580445388,0.0939022794724225,-1.32544778483549
Q14168,0.534382425209732,-0.414186158210403,-0.354605909753347,-1.4806068953672
Q14254,-0.230384289228754,-0.651179727134621,-2.91564571195042,-1.00624543678499
Q14651,-0.0165699751704098,-0.591204116787155,-0.15000204681571,-2.00678318274039
Q14789,-0.202334335114965,-1.57131734367233,-0.784547529426509,1.80466391740382
Q15075,-2.65060236879159,-0.257021640451878,-1.85539400957484,0.585213937215
Q15286,-0.602230182935893,-1.16294604596418,-1.88952110646347,-2.63593760210989
Q15334,0.333079413872668,0.12118047535869,0.0440729621508673,-1.0600950202568
Q15417,-0.101345813553335,-0.309984233665145,0.629057389660732,-0.956631670677523
Q15797,-0.421291376643493,-0.394088258576359,-0.451935691286893,-1.52203110935941
Q16181,0.315723965124968,-0.0474275598866103,0.215556860750346,-0.805050606411766
Q3V6T2,0.118999169754,-0.0416143973063669,0.0896203387449443,-0.861248201121578
Q4KMP7,0.166813907985512,-0.415820380476444,0.111722689901979,-1.60936667865561
Q567U6,-1.33506976801078,-0.0240977581855657,-1.50127410491016,0.0966918141815456
Q5T1M5,-0.861880110426314,0.228042849086999,-1.09652286753277,0.878433831319866
Q5VT25,0.0437275530126024,-0.468998219475142,-0.0149909301957423,-1.37420618887585
Q641Q2,-1.33078235060167,0.202974858178021,-0.681548122130479,0.498270829426087
Q6P1N0,-0.798819174190535,0.465397516608701,0.482883864494968,0.463875341772634
Q6P996,-0.461940902176545,-2.2131640617123,-0.940930788439201,0.476398585427644
Q7L523,-0.0600436488870655,0.124064025242367,-2.09791498832943,0.096194518812334
Q7L7X3,0.151380657269834,-0.485545110530523,-0.571974515706023,-1.57647105310209
