Protein,Cyto - Endo,Cyto - GalT,Cyto - LAMP1,Cyto - LAMTOR1,Cyto - PM
P08754,-0.0140715091535101,-0.890355826864455,-0.76360767536091,-0.617538326651388,-2.13676872472214
P11233,-0.473654263595244,-0.814752532962755,-0.860144671165322,-1.43742887510829,-2.5377310270198
P11234,-0.308915934326088,-0.81184194588751,-1.16302953500079,-0.687654630094566,-2.49102515332425
P11279,-1.52102877155339,-0.663472817782121,-6.35480987414504,-4.36595169672593,-1.02041436349677
P12814,0.0591385218805236,-0.332164698438765,0.581313848315391,0.827094248847412,-1.73020452682232
P13797,0.419507567729669,-0.424184607682764,0.535589856090336,-0.158320477857631,-1.65531556765291
P14923,0.949443040987399,0.0276782483867106,0.211378686062055,0.682407231156855,-1.17957318938995
P15151,-0.231078684041664,-1.56123080498746,0.161648305420813,-0.773032563775564,-3.77759462744789
P15311,0.203578611341622,-0.984027298005277,0.653237415295045,0.184227647477179,-2.45954957231034
P17301,0.036343391950477,-1.35062929260046,0.352795832955553,-0.457401156899387,-2.86273338640026
P19022,0.543327350733589,-0.283457774580166,0.556648453153323,0.101874515853568,-1.7554629865373
P20020,-0.0330087261877212,-1.10611604602542,-0.275982357287388,-0.349040164227677,-2.76000043409413
P20338,-2.05474260688793,-0.0836830028447665,-0.127969024149622,-1.11858964373314,-0.0635859901914219
P21281,-0.654351096709509,0.0952525744625802,-2.06631332777394,-1.68242604871379,0.377799755877014
P23229,-0.601487245331099,-1.87398370422319,-0.588497377270376,-1.21209600544379,-3.28421889097241
P23458,-0.336299110044987,-1.33107132724524,-0.236475962059198,0.195670166093402,-2.35589280090573
P23634,-0.380553573055843,-1.37481747393472,-0.186210998617787,-0.856680956182454,-3.65200995859613
P26038,0.1864693019411,-1.24880077694828,0.460772866490667,0.481496455862157,-2.54977107638902
P35221,0.266417631872768,-0.742060204428665,-0.485683062710521,0.0640269182532905,-1.81988182790189
P35222,0.572463669762024,-0.204029906459331,0.576454180399102,0.354341367389547,-1.62135615948912
P35241,0.211314709877834,-1.16461148486465,0.553396002624223,0.230791803466057,-2.47045623102568
P36543,-0.633208644531554,0.0473935547064351,-2.415518448463,-1.7031024756661,0.445737904803747
P42892,-4.20807952475518,-0.64884768601111,-1.04278581189291,-3.78679659881306,-1.37543370951697
P46379,0.234406377461056,-1.59967707206858,-0.0815118261086883,0.562553643320045,0.405368247339223
